order,seasonal_order,p,d,q,P,D,Q,seasonal_period,aic,bic,converged,error,search_stage
"(3, 0, 2)","(1, 0, 1, 52)",3,0,2,1,0,1,52,4681.945645741269,4705.592262202079,False,,non_seasonal_search
"(3, 1, 0)","(1, 0, 1, 52)",3,1,0,1,0,1,52,4712.688632563237,4730.381191905506,False,,non_seasonal_search
"(5, 2, 4)","(1, 0, 1, 52)",5,2,4,1,0,1,52,4722.528076267985,4757.6551204898715,False,,non_seasonal_search
"(3, 2, 4)","(1, 0, 1, 52)",3,2,4,1,0,1,52,4725.263313541829,4754.535850393401,False,,non_seasonal_search
"(6, 0, 4)","(1, 0, 1, 52)",6,0,4,1,0,1,52,4731.270181017439,4769.418342148138,True,,non_seasonal_search
"(5, 0, 0)","(1, 0, 1, 52)",5,0,0,1,0,1,52,4739.691991784218,4763.2251311650925,False,,non_seasonal_search
"(2, 1, 6)","(1, 0, 1, 52)",2,1,6,1,0,1,52,4743.594145308988,4775.713935493098,False,,non_seasonal_search
"(5, 0, 1)","(1, 0, 1, 52)",5,0,1,1,0,1,52,4747.101659348549,4773.576441152033,True,,non_seasonal_search
"(1, 0, 6)","(1, 0, 1, 52)",1,0,6,1,0,1,52,4772.406972714889,4801.679509566461,False,,non_seasonal_search
"(2, 1, 4)","(1, 0, 1, 52)",2,1,4,1,0,1,52,4788.283195912854,4814.693461311031,False,,non_seasonal_search
"(3, 0, 4)","(1, 0, 1, 52)",3,0,4,1,0,1,52,4804.415998115446,4833.832422341539,False,,non_seasonal_search
"(5, 2, 6)","(1, 0, 1, 52)",5,2,6,1,0,1,52,4804.761354071927,4845.538522472231,False,,non_seasonal_search
"(4, 1, 6)","(1, 0, 1, 52)",4,1,6,1,0,1,52,4807.307127305128,4845.266879340894,False,,non_seasonal_search
"(5, 0, 3)","(1, 0, 1, 52)",5,0,3,1,0,1,52,4840.498425527219,4872.856492175922,False,,non_seasonal_search
"(3, 1, 4)","(1, 0, 1, 52)",3,1,4,1,0,1,52,4843.967807595911,4873.312546927218,False,,non_seasonal_search
"(0, 1, 2)","(1, 0, 1, 52)",0,1,2,1,0,1,52,4876.387942730047,4891.131742181938,False,,non_seasonal_search
"(5, 1, 4)","(1, 0, 1, 52)",5,1,4,1,0,1,52,4895.012188766987,4930.225875964555,False,,non_seasonal_search
"(6, 1, 2)","(1, 0, 1, 52)",6,1,2,1,0,1,52,4907.135591075079,4939.335381611808,False,,non_seasonal_search
"(1, 1, 6)","(1, 0, 1, 52)",1,1,6,1,0,1,52,4907.550576148541,4936.750385406823,False,,non_seasonal_search
"(3, 0, 3)","(1, 0, 1, 52)",3,0,3,1,0,1,52,4908.886712973475,4935.425551986879,False,,non_seasonal_search
"(2, 0, 2)","(1, 0, 1, 52)",2,0,2,1,0,1,52,4915.008441274464,4935.699230677673,False,,non_seasonal_search
"(4, 0, 6)","(1, 0, 1, 52)",4,0,6,1,0,1,52,4915.563346544426,4953.6176444514695,False,,non_seasonal_search
"(6, 1, 6)","(1, 0, 1, 52)",6,1,6,1,0,1,52,4918.906085015127,4962.705798902549,False,,non_seasonal_search
"(3, 1, 3)","(1, 0, 1, 52)",3,1,3,1,0,1,52,4919.4055105445,4945.880292347984,False,,non_seasonal_search
"(2, 2, 5)","(1, 0, 1, 52)",2,2,5,1,0,1,52,4919.51074314787,4948.710552406152,False,,non_seasonal_search
"(6, 0, 6)","(1, 0, 1, 52)",6,0,6,1,0,1,52,4925.448955930304,4969.3577612076615,False,,non_seasonal_search
"(5, 0, 6)","(1, 0, 1, 52)",5,0,6,1,0,1,52,4927.829469671935,4968.811021264136,False,,non_seasonal_search
"(5, 1, 2)","(1, 0, 1, 52)",5,1,2,1,0,1,52,4938.738463522673,4968.08320285398,False,,non_seasonal_search
"(6, 1, 0)","(1, 0, 1, 52)",6,1,0,1,0,1,52,4938.749662620694,4965.094945787108,False,,non_seasonal_search
"(3, 1, 2)","(1, 0, 1, 52)",3,1,2,1,0,1,52,4942.0714788937585,4965.661558016784,False,,non_seasonal_search
